visitaID,inquilinoID,propiedadID,empleadoID,fecha,cancelacion
1,1,1,1,2023-11-15 10:00:00,NULL
2,2,2,2,2023-12-20 14:30:00,2023-12-19 09:15:00
3,3,3,3,2024-01-05 11:45:00,NULL
4,4,4,4,2024-02-10 16:00:00,NULL
5,5,5,5,2024-03-18 09:30:00,NULL
6,6,6,6,2024-04-22 13:15:00,NULL
7,7,7,1,2024-05-30 15:45:00,NULL
8,8,8,2,2024-06-14 10:30:00,NULL
9,9,9,3,2024-07-20 14:00:00,NULL
10,10,10,4,2024-08-25 11:00:00,NULL
11,11,11,5,2024-09-30 16:30:00,NULL
12,12,12,6,2024-10-15 09:45:00,NULL
13,13,13,1,2024-11-22 13:30:00,NULL
14,14,14,2,2024-12-05 15:15:00,NULL
15,15,15,3,2025-01-10 10:15:00,NULL
16,16,16,4,2025-02-18 14:45:00,NULL
